Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-08-16,51.62,115254496,18076720000.0,APPLE INC,4,8,3,2019,2.339413164155432,50.88708001173026,1.87911662146456,1,52.59
AAPL,111052,2019-08-19,52.59,97727660,18076720000.0,APPLE INC,0,8,3,2019,1.87911662146456,51.04926286775595,0.0,0,52.59
AAPL,111052,2019-08-20,52.59,107678116,18076720000.0,APPLE INC,1,8,3,2019,0.0,51.19599973749348,1.0838562464346704,1,53.16
AAPL,111052,2019-08-21,53.16,86258988,18076720000.0,APPLE INC,2,8,3,2019,1.0838562464346704,51.383047381541715,-0.07524454477050255,0,53.12
AAPL,111052,2019-08-22,53.12,89071276,18076720000.0,APPLE INC,3,8,3,2019,-0.07524454477050255,51.548471440442505,-4.631024096385544,0,50.66
AAPL,111052,2019-08-23,50.66,187531372,18076720000.0,APPLE INC,4,8,3,2019,-4.631024096385544,51.46385511278132,1.894986182392422,1,51.62
AAPL,111052,2019-08-26,51.62,104264520,18076720000.0,APPLE INC,0,8,3,2019,1.894986182392422,51.47872605442119,-1.1235955056179743,0,51.04
AAPL,111052,2019-08-27,51.04,103589376,18076720000.0,APPLE INC,1,8,3,2019,-1.1235955056179743,51.43694262066679,0.6661442006269659,1,51.38
AAPL,111052,2019-08-28,51.38,63830528,18076720000.0,APPLE INC,2,8,3,2019,0.6661442006269659,51.43151951393662,1.6932658622031866,1,52.25
AAPL,111052,2019-08-29,52.25,84030608,18076720000.0,APPLE INC,3,8,3,2019,1.6932658622031866,51.50947003641885,-0.11483253588517182,0,52.19
AAPL,111052,2019-08-30,52.19,84650244,18076720000.0,APPLE INC,4,8,3,2019,-0.11483253588517182,51.574282413902765,-1.4753784249856219,0,51.42
AAPL,111052,2019-09-03,51.42,80238296,18076720000.0,APPLE INC,1,9,3,2019,-1.4753784249856219,51.55958885067393,1.7113963438350748,1,52.3
AAPL,111052,2019-09-04,52.3,76867280,18076720000.0,APPLE INC,2,9,3,2019,1.7113963438350748,51.6301041982288,1.9502868068833712,1,53.32
AAPL,111052,2019-09-05,53.32,95787936,18076720000.0,APPLE INC,3,9,3,2019,1.9502868068833712,51.79104665554034,-0.01875468867216431,0,53.31
AAPL,111052,2019-09-06,53.31,77449176,18076720000.0,APPLE INC,4,9,3,2019,-0.01875468867216431,51.93570887882222,0.4314387544550682,1,53.54
AAPL,111052,2019-09-09,53.54,109237604,18076720000.0,APPLE INC,0,9,3,2019,0.4314387544550682,52.08849850941058,1.176690324990666,1,54.17
AAPL,111052,2019-09-10,54.17,127111724,18076720000.0,APPLE INC,1,9,3,2019,1.176690324990666,52.28673674660957,3.193649621561744,1,55.9
AAPL,111052,2019-09-11,55.9,177158584,18076720000.0,APPLE INC,2,9,3,2019,3.193649621561744,52.63085705645628,-0.2325581395348756,0,55.77
AAPL,111052,2019-09-12,55.77,128906676,18076720000.0,APPLE INC,3,9,3,2019,-0.2325581395348756,52.92982305107949,-1.9365250134481,0,54.69
AAPL,111052,2019-09-13,54.69,159053184,18076720000.0,APPLE INC,4,9,3,2019,-1.9365250134481,53.09745895097667,0.530261473761198,1,54.98
AAPL,111052,2019-09-16,54.98,84632564,18076720000.0,APPLE INC,0,9,3,2019,0.530261473761198,53.27674857469318,0.34558021098582187,1,55.17
AAPL,111052,2019-09-17,55.17,73545872,18076720000.0,APPLE INC,1,9,3,2019,0.34558021098582187,53.45705823424621,0.9425412361790756,1,55.69
AAPL,111052,2019-09-18,55.69,102572372,18076720000.0,APPLE INC,2,9,3,2019,0.9425412361790756,53.669719354794196,-0.8080445322319909,0,55.24
AAPL,111052,2019-09-19,55.24,88751504,18076720000.0,APPLE INC,3,9,3,2019,-0.8080445322319909,53.81926989243284,-1.4663287472845805,0,54.43
AAPL,111052,2019-09-20,54.43,231908376,18076720000.0,APPLE INC,4,9,3,2019,-1.4663287472845805,53.8774346645821,0.45930553003858166,1,54.68
AAPL,111052,2019-09-23,54.68,77678592,18076720000.0,APPLE INC,0,9,3,2019,0.45930553003858166,53.95386945843142,-0.4754937820043856,0,54.42
AAPL,111052,2019-09-24,54.42,125737468,18076720000.0,APPLE INC,1,9,3,2019,-0.4754937820043856,53.998262843342715,1.543550165380368,1,55.26
AAPL,111052,2019-09-25,55.26,89924024,18076720000.0,APPLE INC,2,9,3,2019,1.543550165380368,54.11842828683388,-0.5247918928700672,0,54.97
AAPL,111052,2019-09-26,54.97,76353248,18076720000.0,APPLE INC,3,9,3,2019,-0.5247918928700672,54.199530354754465,-0.49117700563943245,0,54.7
AAPL,111052,2019-09-27,54.7,101445140,18076720000.0,APPLE INC,4,9,3,2019,-0.49117700563943245,54.24719413049213,2.3583180987202907,1,55.99
AAPL,111052,2019-09-30,55.99,105274332,17772944000.0,APPLE INC,0,9,3,2019,2.3583180987202907,54.413175641873835,0.28576531523485726,1,56.15
AAPL,111052,2019-10-01,56.15,144748652,17772944000.0,APPLE INC,1,10,4,2019,0.28576531523485726,54.5785874855049,-2.511130899376664,0,54.74
AAPL,111052,2019-10-02,54.74,143069028,17772944000.0,APPLE INC,2,10,4,2019,-2.511130899376664,54.593960105933,0.8403361344537831,1,55.2
AAPL,111052,2019-10-03,55.2,121410744,17772944000.0,APPLE INC,3,10,4,2019,0.8403361344537831,54.65167819108224,2.8079710144927486,1,56.75
AAPL,111052,2019-10-04,56.75,139022212,17772944000.0,APPLE INC,4,10,4,2019,2.8079710144927486,54.85151836336012,0.03524229074890419,1,56.77
AAPL,111052,2019-10-07,56.77,123557076,17772944000.0,APPLE INC,0,10,4,2019,0.03524229074890419,55.03423090018297,-1.1802008102871264,0,56.1
AAPL,111052,2019-10-08,56.1,117130800,17772944000.0,APPLE INC,1,10,4,2019,-1.1802008102871264,55.13573271921316,1.176470588235288,1,56.76
AAPL,111052,2019-10-09,56.76,76117696,17772944000.0,APPLE INC,2,10,4,2019,1.176470588235288,55.29042484119285,1.338971106412976,1,57.52
AAPL,111052,2019-10-10,57.52,115851936,17772944000.0,APPLE INC,3,10,4,2019,1.338971106412976,55.50276533250781,2.6599443671766236,1,59.05
